Name,Reason,count
"Richmond, VA: Richmond International",Weather,22
"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field","National Air System",2
"Rochester, MN: Rochester International",Weather,6
"Rochester, NY: Greater Rochester International","National Air System",12
"Rock Springs, WY: Southwest Wyoming Regional",Weather,3
"Roswell, NM: Roswell International Air Center",Weather,3
"Sacramento, CA: Sacramento International",Carrier,35
"Saginaw/Bay City/Midland, MI: MBS International",Weather,2
"Salina, KS: Salina Regional",Weather,1
"Salt Lake City, UT: Salt Lake City International",Weather,30
"San Angelo, TX: San Angelo Regional/Mathis Field",Weather,7
"San Antonio, TX: San Antonio International",Weather,48
"San Diego, CA: San Diego International",Carrier,77
"San Francisco, CA: San Francisco International",Carrier,118
"San Jose, CA: Norman Y. Mineta San Jose International",Carrier,89
"San Juan, PR: Luis Munoz Marin International",Carrier,11
"San Luis Obispo, CA: San Luis County Regional",Weather,2
"Sanford, FL: Orlando Sanford International",Weather,4
"Santa Ana, CA: John Wayne Airport-Orange County",Weather,24
"Santa Barbara, CA: Santa Barbara Municipal",Carrier,3
"Santa Barbara, CA: Santa Barbara Municipal",Weather,3
"Santa Fe, NM: Santa Fe Municipal",Weather,3
"Santa Rosa, CA: Charles M. Schulz - Sonoma County",Carrier,2
"Sarasota/Bradenton, FL: Sarasota/Bradenton International",Weather,7
"Savannah, GA: Savannah/Hilton Head International","National Air System",14
"Savannah, GA: Savannah/Hilton Head International",Weather,14
"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field","National Air System",1
"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",Weather,1
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","National Air System",2
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",Weather,2
"Seattle, WA: Seattle/Tacoma International",Carrier,57
"Shreveport, LA: Shreveport Regional",Weather,24
"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field","National Air System",3
"Sioux Falls, SD: Joe Foss Field",Weather,6
"Sitka, AK: Sitka Rocky Gutierrez",Carrier,1
"Sitka, AK: Sitka Rocky Gutierrez",Weather,1
"South Bend, IN: South Bend International",Weather,3
"Spokane, WA: Spokane International",Carrier,6
"Springfield, IL: Abraham Lincoln Capital",Weather,5
"Springfield, MO: Springfield-Branson National",Weather,12
"St. Louis, MO: St Louis Lambert International",Weather,57
"St. Petersburg, FL: St Pete Clearwater International",Carrier,1
"St. Petersburg, FL: St Pete Clearwater International",Weather,1
"Stillwater, OK: Stillwater Regional",Weather,6
"Stockton, CA: Stockton Metropolitan",Weather,2
"Syracuse, NY: Syracuse Hancock International",Carrier,10
"Tallahassee, FL: Tallahassee International",Weather,15
"Tampa, FL: Tampa International",Carrier,51
"Texarkana, AR: Texarkana Regional-Webb Field",Weather,10
"Toledo, OH: Toledo Express",Weather,3
"Traverse City, MI: Cherry Capital","National Air System",11
"Trenton, NJ: Trenton Mercer",Carrier,5
"Tucson, AZ: Tucson International",Carrier,17
"Tulsa, OK: Tulsa International",Weather,19
"Tyler, TX: Tyler Pounds Regional",Weather,6
"Valdosta, GA: Valdosta Regional",Weather,2
"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",Weather,16
"Vernal, UT: Vernal Regional","National Air System",2
"Waco, TX: Waco Regional",Weather,13
"Washington, DC: Ronald Reagan Washington National",Weather,124
"Washington, DC: Washington Dulles International",Carrier,45
"Waterloo, IA: Waterloo Regional",Weather,1
"West Palm Beach/Palm Beach, FL: Palm Beach International",Weather,13
"White Plains, NY: Westchester County",Weather,14
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",Weather,7
"Wichita, KS: Wichita Dwight D Eisenhower National",Weather,16
"Wilmington, NC: Wilmington International","National Air System",3
"Wilmington, NC: Wilmington International",Weather,3
"Worcester, MA: Worcester Regional",Carrier,1
"Yakutat, AK: Yakutat Airport",Carrier,1
"Yakutat, AK: Yakutat Airport",Weather,1
